Top-k,Element,MaxMin,Recursive
1,0.22262142857142855,0.14942758620689656,0.19770344827586206
2,0.1928642857142857,0.2195448275862069,0.24745517241379308
3,0.1823107142857143,0.2029551724137931,0.19950689655172416
4,0.20047857142857145,0.2021551724137931,0.20444827586206898
5,0.18136785714285714,0.19311724137931033,0.1932862068965517
6,0.18452142857142856,0.18547241379310345,0.20073793103448276
7,0.17188928571428572,0.16416896551724136,0.18518275862068967
8,0.16909285714285716,0.15413103448275864,0.1675310344827586
9,0.15372857142857144,0.14606206896551724,0.15300689655172414
10,0.14644285714285712,0.13941034482758619,0.1507
11,0.14633214285714286,0.13383793103448277,0.15318275862068964
12,0.14988928571428572,0.12872758620689656,0.1469103448275862
13,0.14006785714285713,0.1296206896551724,0.13766551724137932
14,0.13935357142857144,0.12600689655172415,0.12951724137931037
15,0.13131785714285713,0.11852413793103447,0.12634827586206895
16,0.12413214285714284,0.11185172413793104,0.12329310344827586
17,0.11772142857142856,0.10937586206896552,0.11711724137931034
18,0.11535357142857143,0.10734137931034483,0.12515517241379312
19,0.10993928571428571,0.10506206896551724,0.1255758620689655
20,0.10501071428571429,0.1002551724137931,0.12008620689655172
